Pollutant,State,City ,NoOfLocationsUsed,Readings,IdealReadings,Year,Values,id
PM-2.5,Maharashtra,Sangli,0,0,104,2019,0,847
PM-2.5,Maharashtra,Jalgaon,0,0,104,2019,0,848
PM-2.5,Maharashtra,Nashik,0,0,104,2019,0,849
PM-10,Assam,Sivasagar,2,193,208,2017,81,850
PM-10,Assam,Sivasagar,2,191,208,2016,75,851
PM-10,Assam,Sivasagar,2,207,208,2018,72,852
PM-10,Assam,Sivasagar,1,59,104,2019,54,853
PM-2.5,Maharashtra,Latur,0,0,104,2019,0,854
PM-2.5,Maharashtra,Aurangabad,0,0,104,2019,0,855
PM-2.5,Maharashtra,Kolhapur,0,0,104,2019,0,856
PM-2.5,Maharashtra,Jalna,0,0,104,2019,0,857
PM-10,Assam,Nalbari,1,94,104,2017,95,858
PM-10,Assam,Nalbari,1,103,104,2016,108,859
PM-10,Assam,Nalbari,1,99,104,2018,97,860
PM-10,Assam,Nalbari,1,34,104,2019,103,861
PM-2.5,Maharashtra,Pune,0,0,104,2019,0,862
PM-2.5,Maharashtra,Nagpur,0,0,104,2019,0,863
PM-2.5,Maharashtra,Navi Mumbai,0,0,104,2019,0,864
PM-2.5,Maharashtra,Amravati,0,0,104,2019,0,865
PM-2.5,Maharashtra,Thane,0,0,104,2019,0,866
PM-2.5,Maharashtra,Akola,0,0,104,2019,0,867
PM-2.5,Maharashtra,Chandrapur,0,0,104,2019,0,868
PM-10,Assam,Guwahati,6,811,624,2017,106,869
PM-10,Assam,Guwahati,6,1288,624,2016,105,870
PM-10,Assam,Guwahati,6,806,624,2018,112,871
PM-10,Assam,Guwahati,6,395,624,2019,101,872
PM-2.5,Maharashtra,Ulhasnagar,0,0,104,2019,0,873
PM-10,Andhra Pradesh,Nellore,1,112,104,2017,65,874
PM-10,Andhra Pradesh,Nellore,1,107,104,2016,66,875
PM-10,Andhra Pradesh,Nellore,4,280,416,2018,64,876
PM-10,Andhra Pradesh,Nellore,4,156,416,2019,68,877
PM-2.5,Maharashtra,Mumbai,0,0,104,2019,0,878
PM-2.5,Maharashtra,Badlapur,0,0,104,2019,0,879
PM-2.5,Madhya Pradesh,Sagar,2,1,208,2019,50,880
PM-2.5,Madhya Pradesh,Ujjain,0,0,104,2019,0,881
PM-10,Andhra Pradesh,Rajahmundry,1,103,104,2017,65,882
PM-10,Andhra Pradesh,Rajahmundry,1,102,104,2016,64,883
PM-10,Andhra Pradesh,Rajahmundry,3,142,312,2018,94,884
PM-10,Andhra Pradesh,Rajahmundry,4,106,416,2019,59,885
PM-2.5,Madhya Pradesh,Dewas,0,0,104,2019,0,886
PM-2.5,Madhya Pradesh,Indore,0,0,104,2019,0,887
PM-2.5,Madhya Pradesh,Bhopal,7,77,728,2019,82,888
PM-2.5,Madhya Pradesh,Gwalior,2,12,208,2019,79,889
PM-10,Andhra Pradesh,Ongole,1,110,104,2017,65,890
PM-10,Andhra Pradesh,Ongole,1,98,104,2016,65,891
PM-10,Andhra Pradesh,Ongole,4,208,416,2018,66,892
PM-10,Andhra Pradesh,Ongole,4,159,416,2019,58,893
PM-2.5,Karnataka,Gulbarga,0,0,104,2019,0,894
PM-2.5,Karnataka,Hubli,1,0,104,2019,0,895
PM-2.5,Karnataka,Devanagere,0,0,104,2019,0,896
PM-2.5,Karnataka,Bangalore,1,0,104,2019,0,897
PM-2.5,Jharkhand,Dhanbad,0,0,104,2019,0,898
PM-2.5,Jammu & Kashmir,Srinagar,0,0,104,2019,0,899
PM-2.5,Jammu & Kashmir,Jammu,0,0,104,2019,0,900
PM-10,Andhra Pradesh,Guntur,1,113,104,2017,69,901
PM-10,Andhra Pradesh,Guntur,1,101,104,2016,88,902
PM-10,Andhra Pradesh,Guntur,4,257,416,2018,49,903
PM-10,Andhra Pradesh,Guntur,3,134,312,2019,54,904
PM-2.5,Himachal Pradesh,Damtal,2,0,208,2019,0,905
PM-2.5,Himachal Pradesh,Parwanoo,0,0,104,2019,0,906
PM-2.5,Himachal Pradesh,Sunder Nagar,0,0,104,2019,0,907
PM-2.5,Himachal Pradesh,Paonta Sahib,1,4,104,2019,57,908
PM-10,Andhra Pradesh,Chittoor,1,107,104,2017,63,909
PM-10,Andhra Pradesh,Chittoor,1,106,104,2016,59,910
PM-10,Andhra Pradesh,Chittoor,1,107,104,2018,51,911
PM-10,Andhra Pradesh,Chittoor,5,179,520,2019,61,912
PM-2.5,Himachal Pradesh,Kala Amb,1,0,104,2019,0,913
PM-10,Andhra Pradesh,Srikakulam,1,111,104,2017,70,914
PM-10,Andhra Pradesh,Srikakulam,1,102,104,2016,71,915
PM-10,Andhra Pradesh,Srikakulam,4,323,416,2018,71,916
PM-10,Andhra Pradesh,Srikakulam,4,131,416,2019,65,917
PM-2.5,Himachal Pradesh,Nalagarh,0,0,104,2019,0,918
PM-2.5,Himachal Pradesh,Baddi,0,0,104,2019,0,919
PM-2.5,Gujarat,Surat,0,0,104,2019,0,920
PM-2.5,Gujarat,Vadodara,1,1,104,2019,86,921
PM-10,Andhra Pradesh,Vizianagaram,1,107,104,2017,72,922
PM-10,Andhra Pradesh,Vizianagaram,1,97,104,2016,85,923
PM-10,Andhra Pradesh,Vizianagaram,3,308,312,2018,65,924
PM-10,Andhra Pradesh,Vizianagaram,4,141,416,2019,70,925
PM-2.5,Gujarat,Ahmedabad,2,0,208,2019,0,926
PM-2.5,Delhi,Delhi,0,0,104,2019,0,927
PM-2.5,Chattisgarh,Korba,0,0,104,2019,0,928
PM-2.5,Chattisgarh,Bhilai,2,10,208,2019,55,929
PM-10,Andhra Pradesh,Visakhapatnam,8,876,832,2017,73,930
PM-10,Andhra Pradesh,Visakhapatnam,8,855,832,2016,77,931
PM-10,Andhra Pradesh,Visakhapatnam,9,878,936,2018,78,932
PM-10,Andhra Pradesh,Visakhapatnam,9,480,936,2019,71,933
PM-2.5,Chattisgarh,Raipur,0,0,104,2019,0,934
PM-2.5,Chandigarh,Chandigarh,5,129,520,2019,81,935
PM-2.5,Bihar,Gaya,1,9,104,2019,230,936
PM-2.5,Bihar,Patna,2,0,208,2019,0,937
PM-2.5,Bihar,Muzaffarpur,1,9,104,2019,253,938
PM-2.5,Assam,Silcher,1,0,104,2019,0,939
PM-2.5,Assam,Nagaon,1,0,104,2019,0,940
PM-10,Andhra Pradesh,Kadapa,1,111,104,2017,74,941
PM-10,Andhra Pradesh,Kadapa,1,108,104,2016,68,942
PM-10,Andhra Pradesh,Kadapa,5,378,520,2018,61,943
PM-10,Andhra Pradesh,Kadapa,5,186,520,2019,58,944
PM-2.5,Assam,Sivasagar,1,0,104,2019,0,945
PM-2.5,Assam,Nalbari,0,0,104,2019,0,946
PM-2.5,Assam,Guwahati,6,75,624,2019,69,947
PM-2.5,Andhra Pradesh,Nellore,4,0,416,2019,0,948
PM-10,Andhra Pradesh,Eluru,1,112,104,2017,74,949
PM-10,Andhra Pradesh,Eluru,1,108,104,2016,70,950
PM-10,Andhra Pradesh,Eluru,4,274,416,2018,67,951
PM-10,Andhra Pradesh,Eluru,4,164,416,2019,66,952
PM-2.5,Andhra Pradesh,Rajahmundry,4,19,416,2019,43,953
PM-2.5,Andhra Pradesh,Ongole,4,0,416,2019,0,954
PM-2.5,Andhra Pradesh,Guntur,3,4,312,2019,31,955
PM-2.5,Andhra Pradesh,Chittoor,5,8,520,2019,50,956
PM-10,Andhra Pradesh,Anantapur,1,111,104,2017,78,957
PM-10,Andhra Pradesh,Anantapur,1,106,104,2016,85,958
PM-10,Andhra Pradesh,Anantapur,4,398,416,2018,71,959
PM-10,Andhra Pradesh,Anantapur,4,145,416,2019,81,960
PM-2.5,Andhra Pradesh,Srikakulam,4,14,416,2019,45,961
PM-10,Andhra Pradesh,Kurnool,1,112,104,2017,82,962
PM-10,Andhra Pradesh,Kurnool,1,108,104,2016,69,963
PM-10,Andhra Pradesh,Kurnool,4,390,416,2018,66,964
PM-10,Andhra Pradesh,Kurnool,4,165,416,2019,62,965
PM-2.5,Andhra Pradesh,Vizianagaram,4,9,416,2019,56,966
PM-2.5,Andhra Pradesh,Visakhapatnam,9,82,936,2019,55,967
PM-2.5,Andhra Pradesh,Kadapa,5,2,520,2019,60,968
PM-2.5,Andhra Pradesh,Eluru,4,0,416,2019,0,969
PM-10,Andhra Pradesh,Vijayawada,3,327,312,2017,99,970
PM-10,Andhra Pradesh,Vijayawada,3,297,312,2016,102,971
PM-10,Andhra Pradesh,Vijayawada,9,657,936,2018,77,972
PM-10,Andhra Pradesh,Vijayawada,9,395,936,2019,78,973
PM-2.5,Andhra Pradesh,Anantapur,4,2,416,2019,32,974
PM-2.5,Andhra Pradesh,Kurnool,4,0,416,2019,0,975
PM-2.5,Andhra Pradesh,Vijayawada,9,0,936,2019,0,976
