id,state,city,2016,2017-gap,2017,2018-gap,2018,2019-gap,2019,2020-gap,2020
101,Telangana,Hyderabad,49,4,54,1,55,-15,40,-40,
102,Telangana,Nalgonda,35,1,36,13,49,-11,38,-38,
103,Telangana,Patancheru,33,-2,31,6,37,4,41,-41,
104,Telangana,Sangareddy,,37,37,3,39,4,44,-8,36
105,Uttar Pradesh,Agra,,124,124,-18,106,4,110,2,112
106,Uttar Pradesh,Allahabad,,0,,0,,0,,0,
107,Uttar Pradesh,Anpara,,0,,0,,0,,0,
108,Uttar Pradesh,Bareily,,0,,0,,28,28,-1,27
109,Uttar Pradesh,Firozabad,,0,,0,,0,,0,
110,Uttar Pradesh,Gajraula,,0,,0,,0,,0,
111,Uttar Pradesh,Ghaziabad,,0,,103,103,16,119,-17,103
112,Uttar Pradesh,Gorakhpur,,0,,0,,0,,0,
113,Uttar Pradesh,Jhansi,,0,,0,,0,,0,
114,Uttar Pradesh,Kanpur,,0,,83,83,-17,66,-26,40
115,Uttar Pradesh,Khurja,,0,,0,,0,,0,
116,Uttar Pradesh,Lucknow,,102,102,6,108,-108,,0,
117,Uttar Pradesh,Meerut,,0,,0,,0,,0,
118,Uttar Pradesh,Moradabad,,0,,0,,0,,0,
119,Uttar Pradesh,Noida,,0,,119,119,-14,105,7,112
120,Uttar Pradesh,Raebareli,,0,,0,,0,,0,
121,Uttar Pradesh,Varanasi,,0,,0,,0,,0,
122,Uttarakhand,Dehradun,,0,,0,,0,,82,82
123,Uttarakhand,Kashipur,,0,,0,,0,,0,
124,Uttarakhand,Rishikesh,,0,,0,,0,,0,
125,West Bengal,Asansol,88,-21,67,-9,58,23,81,-16,65
126,West Bengal,Barrackpore,58,-14,44,0,44,22,66,-17,49
127,West Bengal,Durgapur,,69,69,2,71,2,73,-16,57
128,West Bengal,Faridabad,,0,,0,,0,,0,
129,West Bengal,Haldia,,35,35,-2,33,2,35,9,44
130,West Bengal,Howrah,69,-2,67,30,97,-29,68,-3,66
131,West Bengal,Kolkata,,71,71,16,86,-30,56,-4,52
132,West Bengal,Raniganj,,0,,0,,0,,0,
